Klub;Sezon;Adres;Prezes;Wiceprezs;Manager;Pierwszy trener;Drugi trener
Grupa Azoty Chemik Police;2019/2020; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Ferhat Akbas
															"; 								Marek Mierzwiñski,																							Przemys³aw Kawka																					
£KS Commercecon £ódŸ;2019/2020; Al. Unii Lubelskiej 2, £ódŸ; Hubert Hoffman;; Katarzyna Sielicka;" Giuseppe Cuccarini
															"; 								Bart³omiej Bartodziejski																						
Wis³a Warszawa;2019/2020; ul. Obroñców Tobruku 40/7, Warszawa;;;;" Dejan Desnica
															"; 								Joanna Mirek																					
#VolleyWroc³aw;2020/2021; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Dawid Murek
																					";
BKS BOSTIK Bielsko-Bia³a;2020/2021; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Bart³omiej Piekarczyk
															"; 								Bartosz Sufa																					
Developres SkyRes Rzeszów;2020/2021; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Stephane Antiga
															"; 								Bart³omiej D¹browski																					
DPD I£Capital Legionovia Legionowo;2020/2021; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Alessandro Chiappini
															"; 								Adrian Chyliñski																						
E.LECLERC MOYA Radomka Radom;2020/2021; ul. Narutowicza 9, Radom; Thomas Renard - Chardin;;;" Riccardo Marchesi
															"; 								Rados³aw Wodziñski																						
Enea PTPS Pi³a;2020/2021; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Adam Grabowski
															"; 								Damian Zem³o																					
Energa MKS Kalisz;2020/2021; ul. Prymasa Stefana Wyszyñskiego 22-24, Kalisz; B³a¿ej Wojty³a ;; Rafa³ Janiak ;" Jacek Pasiñski
															"; 								Marcin Widera																						
Grot Budowlani £ódŸ;2020/2021; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
															"; 								Adam Czekaj																						
Grupa Azoty Chemik Police;2020/2021; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Ferhat Akbas
															"; 								Marek Mierzwiñski																						
Joker Œwiecie;2020/2021; ul. Sienkiewicza 3, Œwiecie; Andrzej Nadolny;;;" Wojciech Kurczyñski
															"; 								Miko³aj Mariaskin																					
£KS Commercecon £ódŸ;2020/2021; Al. Unii Lubelskiej 2, £ódŸ; Hubert Hoffman;; Katarzyna Sielicka;" Michal Masek
															"; 								Bart³omiej Bartodziejski																					
Polskie Przetwory Pa³ac Bydgoszcz;2020/2021; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Piotr Matela
															"; 								Jakub Têcza																					
#VolleyWroc³aw;2021/2022; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;;
BKS BOSTIK Bielsko-Bia³a;2021/2022; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;;
Developres BELLA DOLINA Rzeszów;2021/2022; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;;
E.LECLERC MOYA Radomka Radom;2021/2022; ul. Narutowicza 9, Radom; Thomas Renard - Chardin;;;" B³a¿ej Krzyszta³owicz
															"; 								Daniele Panigalli																					
Energa MKS Kalisz;2021/2022; ul. Prymasa Stefana Wyszyñskiego 22-24, Kalisz; B³a¿ej Wojty³a ;; Rafa³ Janiak ;;
Grot Budowlani £ódŸ;2021/2022; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;;
Grupa Azoty Chemik Police;2021/2022; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;;
I£ Capital Legionovia Legionowo;2021/2022; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Alessandro Chiappini
															"; 								Adrian Chyliñski																						
Joker Œwiecie;2021/2022; ul. Sienkiewicza 3, Œwiecie; Andrzej Nadolny;;;;
£KS Commercecon £ódŸ;2021/2022; Al. Unii Lubelskiej 2, £ódŸ; Hubert Hoffman;; Katarzyna Sielicka;;
Polskie Przetwory Pa³ac Bydgoszcz;2021/2022; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;;
UNI Opole;2021/2022; Pl. Kopernika 11a, Opole; Maciej Kochañski;;;;
