I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
*;*;*;;;-;1;0;-1;2;1;0;-50%;0;0;-;-;6;0;1;1;17%;0%;0;0;5 Julia Szczurowska ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Julia Papszun ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
4;*;2;;;-;5;0;3;4;0;0;25%;17;0;47%;29%;14;1;1;5;36%;21%;0;1;8 Zuzanna Wawrzyniak ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Marta Budnik ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
*;5;;;;-;2;0;1;4;0;0;0%;13;0;46%;8%;7;0;1;2;29%;14%;0;0;11 Aleksandra Gromadowska ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
3;4;4;;;-;10;3;2;4;0;0;0%;0;0;-;-;28;4;4;9;32%;4%;1;1;12 Monika Ga≥kowska ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
1;2;5;;;-;4;0;-2;6;0;0;0%;12;0;50%;8%;18;3;3;4;22%;-11%;0;0;13 Emilia Mucha ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Julia Mazur (L);Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
*;*;*;;;-;0;0;-1;0;0;0;-;20;1;90%;45%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
;*;;;;-;1;0;-2;1;0;0;0%;3;0;0%;0%;5;1;2;1;20%;-40%;0;0;20 Oliwia Ba≥uk ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
