I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;2 Justyna KÍdziora ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
5;5;2;;;-;3;3;0;16;2;1;6%;0;0;-;-;6;0;1;1;17%;0%;1;0;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
;*;*;;;-;0;0;-1;4;1;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;6 Anna Lewandowska ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
6;6;3;;;-;2;2;0;9;2;0;-11%;0;0;-;-;1;0;0;1;100%;100%;1;2;7 Martyna £azowska ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
*;*;4;;;-;6;3;1;7;0;1;28%;19;1;58%;16%;15;1;3;5;33%;7%;0;1;8 Zuzanna GÛrecka ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
2;2;5;;;-;11;5;7;6;3;1;-33%;1;0;100%;0%;11;1;0;8;73%;64%;2;1;9 Weronika Centka ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
3;3;*;;;-;3;1;-3;5;0;0;0%;0;0;-;-;18;3;3;3;17%;-17%;0;0;10 Ana Cleger ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
4;4;1;;;-;12;3;4;11;0;0;0%;14;1;21%;21%;30;2;5;11;37%;13%;1;1;14 Monika Fedusio ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Daria Skomorowska (L);Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
*;*;*;;;-;0;0;0;0;0;0;-;14;0;57%;29%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;1;0;0;0;0%;0%;0;0;23 Maja Pelczarska ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
1;1;6;;;-;7;4;2;6;0;0;0%;18;1;39%;0%;23;3;1;6;26%;9%;1;1;24 Paulina Damaske ;Grot Budowlani £Ûdü;"
							01.05.2022, 17:30£KS Commercecon £Ûdü-3:0-Grot Budowlani £Ûdü";"
							01.05.2022, 17:30
					";2022/2023;play-off;K-1
*;*;*;*;;-;2;2;1;10;1;2;20%;0;0;-;-;0;0;0;0;-;-;0;0;2 Justyna KÍdziora ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
3;2;3;1;;-;3;1;0;10;2;0;-10%;0;0;-;-;8;1;0;2;25%;12%;1;3;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
*;*;;*;;-;1;0;0;3;1;0;-33%;0;0;-;-;1;0;0;1;100%;100%;0;0;6 Anna Lewandowska ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
4;3;4;2;;-;1;0;-1;16;2;0;0%;0;0;-;-;3;0;0;1;33%;33%;0;1;7 Martyna £azowska ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
*;*;5;3;;-;5;4;3;14;0;1;7%;16;0;44%;19%;13;1;1;4;31%;15%;0;0;8 Zuzanna GÛrecka ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
6;5;6;4;;-;6;1;2;7;3;0;-43%;1;0;100%;0%;7;0;1;4;57%;43%;2;5;9 Weronika Centka ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
1;6;1;5;;-;18;3;12;7;2;1;0%;0;0;-;-;41;1;3;16;39%;28%;1;0;10 Ana Cleger ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
2;1;2;6;;-;19;9;9;16;3;0;-6%;34;2;35%;18%;45;2;3;17;38%;27%;2;1;14 Monika Fedusio ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Daria Skomorowska (L);Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
*;*;*;*;;-;0;0;0;0;0;0;-;15;0;53%;20%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;23 Maja Pelczarska ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
5;4;;*;;-;3;1;-3;3;0;0;33%;14;1;50%;14%;15;2;3;2;13%;-20%;1;0;24 Paulina Damaske ;Grot Budowlani £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
5;4;5;4;;-;9;3;5;14;1;1;0%;13;1;46%;38%;17;1;1;8;47%;35%;0;1;2 Martyna Grajber ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
*;*;*;*;;-;0;0;-1;0;0;0;-;11;1;45%;27%;0;0;0;0;-;-;0;0;3 Paulina Maj-Erwardt (L);£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
*;*;*;*;;-;1;1;0;9;0;0;11%;0;0;-;-;2;1;0;1;50%;0%;0;3;4 Joanna Pacak ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
;*;;;;-;0;0;0;1;0;0;0%;1;0;0%;0%;0;0;0;0;-;-;0;0;5 Pietra Jukoski ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
6;5;6;5;;-;8;1;4;7;1;0;-14%;1;0;0%;0%;9;1;2;3;33%;0%;5;4;6 Kamila Witkowska ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
4;3;4;3;;-;27;13;19;15;2;1;-7%;0;0;-;-;46;4;2;24;52%;39%;2;1;7 Valentina Diouf ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
;*;*;;;-;1;0;0;0;0;0;-;0;0;-;-;7;1;0;1;14%;0%;0;0;8 Weronika Sobiczewska ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
1;6;1;6;;-;0;0;-2;17;2;0;-6%;0;0;-;-;2;0;0;0;0%;0%;0;1;12 Roberta Ratzke ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;14 Angelika Gajer ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
3;2;3;2;;-;9;5;8;15;1;0;0%;0;0;-;-;9;0;0;6;67%;67%;3;5;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
*;;*;1;;-;0;0;-1;1;0;0;0%;8;1;25%;13%;0;0;0;0;-;-;0;1;18 Julita Piasecka ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
2;1;2;*;;-;16;8;4;13;6;1;-15%;38;1;24%;11%;34;3;2;14;41%;26%;1;1;21 Veronica Jones-Perry ;£KS Commercecon £Ûdü;"
							05.05.2022, 20:30Grot Budowlani £Ûdü-1:3-£KS Commercecon £Ûdü";"
							05.05.2022, 20:30
					";2022/2023;play-off;K-2
4;5;4;5;;-;5;2;0;13;0;1;8%;11;1;73%;55%;15;0;4;4;27%;0%;0;2;2 Martyna Grajber ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
*;*;*;*;;-;0;0;0;0;0;0;-;18;0;67%;44%;0;0;0;0;-;-;0;0;3 Paulina Maj-Erwardt (L);£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;*;*;;;-;0;0;-1;4;1;0;-25%;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
*;;*;;;-;0;0;0;0;0;0;-;2;0;50%;0%;0;0;0;0;-;-;0;0;5 Pietra Jukoski ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
5;6;5;6;;-;8;2;7;11;1;0;-9%;0;0;-;-;13;0;0;8;62%;62%;0;2;6 Kamila Witkowska ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
3;4;3;4;;-;25;12;20;13;0;0;8%;0;0;-;-;48;1;4;20;42%;31%;5;0;7 Valentina Diouf ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Weronika Sobiczewska ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
6;1;6;1;;-;3;2;2;14;1;0;0%;0;0;-;-;2;0;0;1;50%;50%;2;1;12 Roberta Ratzke ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Angelika Gajer ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
2;3;2;3;;-;17;6;14;16;0;2;19%;0;0;-;-;17;2;1;11;65%;47%;4;1;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;18 Julita Piasecka ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
1;2;1;2;;-;18;12;10;26;4;5;4%;43;3;44%;26%;28;1;0;13;46%;43%;0;2;21 Veronica Jones-Perry ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;25 Zuzanna Pieniak ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;27 Alicja Jaryszek ;£KS Commercecon £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;*;*;*;;-;0;0;-2;2;1;0;-50%;0;0;-;-;1;1;0;0;0%;-100%;0;0;2 Justyna KÍdziora ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
5;5;5;5;;-;2;1;1;9;0;0;0%;1;1;0%;0%;3;0;0;0;0%;0%;2;3;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
*;*;2;2;;-;4;2;4;11;0;1;9%;3;0;67%;0%;4;0;0;2;50%;50%;1;1;6 Anna Lewandowska ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
6;6;6;6;;-;4;2;4;11;0;1;18%;0;0;-;-;4;0;0;2;50%;50%;1;1;7 Martyna £azowska ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
1;1;;;;-;2;1;-2;5;0;0;20%;9;2;56%;11%;9;1;1;1;11%;-11%;1;0;8 Zuzanna GÛrecka ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
2;2;;*;;-;2;1;-1;6;1;0;-17%;0;0;-;-;5;0;2;0;0%;-40%;2;1;9 Weronika Centka ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
3;3;3;3;;-;18;4;9;14;3;0;-14%;0;0;-;-;39;3;3;16;41%;26%;2;1;10 Ana Cleger ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
4;4;4;4;;-;20;6;6;12;1;1;17%;33;3;52%;30%;43;6;4;19;44%;21%;0;1;14 Monika Fedusio ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Daria Skomorowska (L);Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
*;*;*;*;;-;0;0;0;0;0;0;-;16;0;50%;31%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;23 Maja Pelczarska ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
*;*;1;1;;-;11;4;5;10;0;1;10%;28;2;57%;25%;25;3;1;10;40%;24%;0;0;24 Paulina Damaske ;Grot Budowlani £Ûdü;"
							08.05.2022, 14:45£KS Commercecon £Ûdü-3:1-Grot Budowlani £Ûdü";"
							08.05.2022, 14:45
					";2022/2023;play-off;K-3
2;6;1;6;1;-;14;8;5;19;3;3;11%;25;3;44%;36%;25;0;3;9;36%;24%;2;1;1 Natalia Murek ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
1;5;6;5;6;-;4;2;3;16;1;0;-6%;0;0;-;-;4;0;0;2;50%;50%;2;5;4 Aleksandra SzczepaÒska ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;;*;*;*;-;3;1;3;6;0;0;0%;6;0;67%;33%;6;0;0;3;50%;50%;0;0;6 Aleksandra WÛjcik ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
4;2;3;2;3;-;18;6;6;16;3;0;-12%;0;0;-;-;40;6;3;13;33%;10%;5;2;8 Katarzyna ZaroúliÒska-KrÛl ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
6;4;5;4;5;-;11;5;8;10;0;1;10%;0;0;-;-;18;0;3;9;50%;33%;1;4;9 Freya Aelbrecht ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;*;;*;*;-;0;0;-1;5;1;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;11 Kamila Kobus ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
5;3;4;3;4;-;18;6;13;13;3;0;-15%;10;0;70%;40%;41;1;1;16;39%;34%;2;3;12 Alexandra LaziÊ ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
*;;*;*;*;-;0;0;-2;4;1;0;-25%;6;0;67%;33%;2;0;1;0;0%;-50%;0;1;13 Renata Bia≥a ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
3;1;2;1;2;-;7;2;0;16;5;0;-25%;2;0;50%;0%;8;2;0;3;38%;12%;4;3;15 Kornelia Moskwa ;E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
*;*;*;*;*;-;0;0;0;0;0;0;-;34;0;56%;29%;0;0;0;0;-;-;0;0;16 Agnieszka Adamek (L);E.LECLERC MOYA Radomka Radom;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
5;4;6;2;3;-;5;1;3;13;1;0;-8%;1;0;0%;0%;12;1;0;4;33%;25%;1;2;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
4;3;5;4;5;-;30;14;15;13;3;2;0%;23;1;48%;22%;62;5;6;24;39%;21%;4;2;3 Olivia RÛøaÒski ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;*;;*;*;-;0;0;0;7;0;0;0%;4;0;50%;25%;0;0;0;0;-;-;0;0;6 Magdalena Damaske-Dawid ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;;*;6;1;-;8;2;6;7;1;0;-14%;2;0;50%;0%;14;1;0;7;50%;43%;1;0;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;;;5;6;-;1;0;-1;4;1;0;-25%;0;0;-;-;2;1;0;0;0%;-50%;1;1;8 Sonia Stefanik ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
1;6;2;1;2;-;9;5;3;14;0;0;7%;29;2;45%;24%;22;0;4;7;32%;14%;2;0;10 Yaprak Erkek ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
*;*;*;;;-;0;0;0;0;0;0;-;11;0;36%;9%;0;0;0;0;-;-;0;0;11 Izabela LemaÒczyk (L);I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;*;*;;;-;0;0;-1;1;0;0;0%;0;0;-;-;3;1;0;0;0%;-33%;0;0;12 Diana Dπbrowska ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;*;*;;;-;1;1;0;3;0;1;33%;0;0;-;-;1;0;1;0;0%;-100%;0;0;14 Maja SzymaÒska ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
;;*;*;*;-;0;0;-1;0;0;0;-;18;1;33%;6%;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
6;5;1;;;-;7;1;2;4;1;0;-25%;0;0;-;-;20;2;2;7;35%;15%;0;1;17 Gyselle Silva Franco ;I£ Capital Legionovia Legionowo;"
							20.04.2022, 17:00E.LECLERC MOYA Radomka Radom-2:3-I£ Capital Legionovia Legionowo";"
							20.04.2022, 17:00
					";2022/2023;play-off;J-1
