Druzyna Home;Druzyna Away;Wynik Home;Wynik Away;Lokalizacja;Data meczu;Klucz;Sezon
Polski Cukier Muszynianka Fakro Bank BPS;Beef Master Budowlani £ódŸ;3;1;A;10.04.2014, 18:00;10.04.2014Polski Cukier Muszynianka Fakro Bank BPS-3:1-Beef Master Budowlani £ódŸ;2013/2014
KPS Chemik Police;Impel Wroc³aw;3;0;H;13.04.2014, 17:00;13.04.2014KPS Chemik Police-3:0-Impel Wroc³aw;2013/2014
KPS Chemik Police;Impel Wroc³aw;3;0;A;13.04.2014, 17:00;13.04.2014KPS Chemik Police-3:0-Impel Wroc³aw;2013/2014
KPS Chemik Police;Impel Wroc³aw;3;1;H;14.04.2014, 20:30;14.04.2014KPS Chemik Police-3:1-Impel Wroc³aw;2013/2014
KPS Chemik Police;Impel Wroc³aw;3;1;A;14.04.2014, 20:30;14.04.2014KPS Chemik Police-3:1-Impel Wroc³aw;2013/2014
Impel Wroc³aw;KPS Chemik Police;0;3;H;24.04.2014, 18:00;24.04.2014Impel Wroc³aw-0:3-KPS Chemik Police;2013/2014
Impel Wroc³aw;KPS Chemik Police;0;3;A;24.04.2014, 18:00;24.04.2014Impel Wroc³aw-0:3-KPS Chemik Police;2013/2014
Atom Trefl Sopot;Tauron Banimex MKS D¹browa Górnicza;3;1;H;14.04.2014, 17:00;14.04.2014Atom Trefl Sopot-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Atom Trefl Sopot;Tauron Banimex MKS D¹browa Górnicza;3;1;A;14.04.2014, 17:00;14.04.2014Atom Trefl Sopot-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Atom Trefl Sopot;Tauron Banimex MKS D¹browa Górnicza;3;0;H;15.04.2014, 15:30;15.04.2014Atom Trefl Sopot-3:0-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Atom Trefl Sopot;Tauron Banimex MKS D¹browa Górnicza;3;0;A;15.04.2014, 15:30;15.04.2014Atom Trefl Sopot-3:0-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Atom Trefl Sopot;1;3;H;24.04.2014, 18:00;24.04.2014Tauron Banimex MKS D¹browa Górnicza-1:3-Atom Trefl Sopot;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Atom Trefl Sopot;1;3;A;24.04.2014, 18:00;24.04.2014Tauron Banimex MKS D¹browa Górnicza-1:3-Atom Trefl Sopot;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;BKS Aluprof Bielsko-Bia³a;3;1;H;16.04.2014, 18:00;16.04.2014Polski Cukier Muszynianka Fakro Bank BPS-3:1-BKS Aluprof Bielsko-Bia³a;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;BKS Aluprof Bielsko-Bia³a;3;1;A;16.04.2014, 18:00;16.04.2014Polski Cukier Muszynianka Fakro Bank BPS-3:1-BKS Aluprof Bielsko-Bia³a;2013/2014
BKS Aluprof Bielsko-Bia³a;Polski Cukier Muszynianka Fakro Bank BPS;3;0;H;26.04.2014, 18:00;26.04.2014BKS Aluprof Bielsko-Bia³a-3:0-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
BKS Aluprof Bielsko-Bia³a;Polski Cukier Muszynianka Fakro Bank BPS;3;0;A;26.04.2014, 18:00;26.04.2014BKS Aluprof Bielsko-Bia³a-3:0-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
BKS Aluprof Bielsko-Bia³a;Polski Cukier Muszynianka Fakro Bank BPS;3;2;H;27.04.2014, 18:00;27.04.2014BKS Aluprof Bielsko-Bia³a-3:2-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
BKS Aluprof Bielsko-Bia³a;Polski Cukier Muszynianka Fakro Bank BPS;3;2;A;27.04.2014, 18:00;27.04.2014BKS Aluprof Bielsko-Bia³a-3:2-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
PGNiG Nafta Pi³a;KS Pa³ac Bydgoszcz;3;1;H;22.03.2014, 18:00;22.03.2014PGNiG Nafta Pi³a-3:1-KS Pa³ac Bydgoszcz;2013/2014
PGNiG Nafta Pi³a;KS Pa³ac Bydgoszcz;3;1;A;22.03.2014, 18:00;22.03.2014PGNiG Nafta Pi³a-3:1-KS Pa³ac Bydgoszcz;2013/2014
KS Pa³ac Bydgoszcz;PGNiG Nafta Pi³a;2;3;H;30.03.2014, 19:00;30.03.2014KS Pa³ac Bydgoszcz-2:3-PGNiG Nafta Pi³a;2013/2014
KS Pa³ac Bydgoszcz;PGNiG Nafta Pi³a;2;3;A;30.03.2014, 19:00;30.03.2014KS Pa³ac Bydgoszcz-2:3-PGNiG Nafta Pi³a;2013/2014
PGNiG Nafta Pi³a;KS Pa³ac Bydgoszcz;3;0;H;05.04.2014, 18:00;05.04.2014PGNiG Nafta Pi³a-3:0-KS Pa³ac Bydgoszcz;2013/2014
PGNiG Nafta Pi³a;KS Pa³ac Bydgoszcz;3;0;A;05.04.2014, 18:00;05.04.2014PGNiG Nafta Pi³a-3:0-KS Pa³ac Bydgoszcz;2013/2014
PGNiG Nafta Pi³a;KS Pa³ac Bydgoszcz;3;0;H;06.04.2014, 18:00;06.04.2014PGNiG Nafta Pi³a-3:0-KS Pa³ac Bydgoszcz;2013/2014
PGNiG Nafta Pi³a;KS Pa³ac Bydgoszcz;3;0;A;06.04.2014, 18:00;06.04.2014PGNiG Nafta Pi³a-3:0-KS Pa³ac Bydgoszcz;2013/2014
KPS Chemik Police;Atom Trefl Sopot;3;0;H;05.10.2013, 14:45;05.10.2013KPS Chemik Police-3:0-Atom Trefl Sopot;2013/2014
KPS Chemik Police;Atom Trefl Sopot;3;0;A;05.10.2013, 14:45;05.10.2013KPS Chemik Police-3:0-Atom Trefl Sopot;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Siódemka SK Bank Legionovia Legionowo;3;0;H;07.10.2013, 18:00;07.10.2013Tauron Banimex MKS D¹browa Górnicza-3:0-Siódemka SK Bank Legionovia Legionowo;2013/2014
Tauron Banimex MKS D¹browa Górnicza;Siódemka SK Bank Legionovia Legionowo;3;0;A;07.10.2013, 18:00;07.10.2013Tauron Banimex MKS D¹browa Górnicza-3:0-Siódemka SK Bank Legionovia Legionowo;2013/2014
